Company,TypeName,Inches,CPU_Company,CPU_Frequency (GHz),RAM (GB),GPU_Company,OpSys,Weight (kg),screen_x_size,screen_y_size,Touch_screen,IPS,Full_HD,4k_Ultra_HD,Quad_HD,Screen_Resolution_NA,Price,SSD,HDD,Flash_Storage
Dell,Ultrabook,13.3,Intel,1.8,8,Intel,Windows 10,1.21,1920,1080,0,1,0,0,0,0,1649.0,1,0,0
Asus,Gaming,15.6,AMD,3.0,8,AMD,Windows 10,2.45,1920,1080,0,0,1,0,0,0,699.0,0,1,0
Acer,Notebook,15.6,Intel,1.8,8,Nvidia,Windows 10,2.2,1920,1080,0,0,1,0,0,0,689.0,0,1,0
HP,Notebook,13.3,Intel,1.8,16,Intel,Windows 10,1.49,1920,1080,0,0,1,0,0,0,1197.0,1,0,0
Dell,Gaming,15.6,Intel,2.5,8,Nvidia,Windows 10,2.65,1920,1080,0,0,1,0,0,0,1195.0,1,0,0
Asus,Ultrabook,14.0,Intel,2.7,8,Intel,Windows 10,1.25,1920,1080,0,0,1,0,0,0,1049.0,1,0,0
Acer,2 in 1 Convertible,13.3,Intel,1.6,8,Intel,Windows 10,1.5,1920,1080,1,1,0,0,0,0,847.0,1,0,0
Dell,Notebook,15.6,Intel,2.7,8,AMD,Linux,2.2,1920,1080,0,0,1,0,0,0,599.9,0,1,0
Dell,Notebook,15.6,Intel,2.0,4,AMD,Linux,2.2,1920,1080,0,0,1,0,0,0,485.0,1,0,0
Asus,Notebook,15.6,Intel,2.4,6,Nvidia,Windows 10,2.0,1920,1080,0,0,1,0,0,0,577.0,1,0,0
HP,Gaming,15.6,Intel,2.8,12,Nvidia,Windows 10,2.62,1920,1080,0,1,0,0,0,0,1249.0,1,1,0
HP,Notebook,15.6,Intel,2.7,8,AMD,Windows 10,1.91,1920,1080,0,0,1,0,0,0,719.0,1,0,0
HP,Notebook,15.6,AMD,1.5,4,AMD,Windows 10,2.1,1920,1080,0,0,1,0,0,0,349.0,0,1,0
Dell,Notebook,15.6,Intel,1.6,8,AMD,Linux,2.2,1920,1080,0,0,1,0,0,0,647.0,0,1,0
HP,Ultrabook,13.3,Intel,2.7,8,Nvidia,Windows 10,1.38,1920,1080,0,1,0,0,0,0,1119.0,1,0,0
Microsoft,Ultrabook,13.5,Intel,2.5,8,Intel,Windows 10 S,1.252,2256,1504,1,0,0,0,0,0,1340.0,1,0,0
HP,Notebook,14.0,Intel,2.5,6,Nvidia,Windows 10,1.58,1920,1080,0,1,0,0,0,0,659.0,1,0,0
Lenovo,Notebook,15.6,Intel,2.0,4,Intel,Windows 10,1.85,1920,1080,0,0,1,0,0,0,414.9,0,1,0
Asus,Ultrabook,14.0,Intel,2.7,8,Nvidia,Windows 10,1.3,1920,1080,0,1,0,0,0,0,1193.0,1,0,0
MSI,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,2.2,1920,1080,0,0,1,0,0,0,1299.0,1,1,0
Lenovo,Notebook,14.0,Intel,2.7,8,Intel,Windows 10,1.58,1920,1080,0,1,0,0,0,0,1480.0,1,0,0
Asus,Ultrabook,15.6,Intel,1.8,16,Nvidia,Windows 10,1.5,1920,1080,0,0,1,0,0,0,1262.0,1,1,0
Dell,Ultrabook,13.3,Intel,2.4,8,Intel,Windows 10,1.23,3200,1800,1,0,0,0,1,0,1379.0,1,0,0
Lenovo,2 in 1 Convertible,13.3,Intel,2.5,8,Intel,Windows 10,1.37,1920,1080,1,1,0,0,0,0,1399.0,1,0,0
HP,Notebook,14.0,Intel,1.6,4,Intel,Windows 10,1.63,1366,768,0,1,0,0,0,0,722.0,0,1,0
Dell,Ultrabook,13.3,Intel,1.6,8,Intel,Windows 10,1.21,1920,1080,0,1,0,0,0,0,1629.0,1,0,0
HP,2 in 1 Convertible,13.3,Intel,1.6,8,Intel,Windows 10,1.26,1920,1080,1,1,0,0,0,0,1398.99,1,0,0
HP,Notebook,14.0,Intel,1.8,8,Intel,Windows 10,1.63,1920,1080,0,0,1,0,0,0,1084.0,1,0,0
Dell,Notebook,15.6,Intel,1.8,8,Nvidia,Windows 10,2.16,1920,1080,0,1,0,0,0,0,1130.33,1,1,0
Asus,Notebook,17.3,Intel,2.0,4,Nvidia,Windows 10,2.0,1920,1080,0,0,1,0,0,0,564.0,0,1,0
Asus,Notebook,15.6,Intel,1.8,8,Nvidia,Windows 10,1.7,1920,1080,0,0,1,0,0,0,1118.0,1,0,0
Acer,Notebook,15.6,Intel,2.4,6,Intel,Windows 10,2.1,1920,1080,1,1,0,0,0,0,479.0,0,1,0
MSI,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,1.8,1920,1080,0,0,1,0,0,0,2241.5,1,1,0
Lenovo,Notebook,15.6,Intel,2.5,8,Nvidia,No OS,2.2,1920,1080,0,0,1,0,0,0,629.0,1,0,0
HP,Notebook,17.3,Intel,1.8,16,Nvidia,Windows 10,2.5,1920,1080,0,0,1,0,0,0,1271.0,1,0,0
Acer,Notebook,15.6,AMD,3.0,4,AMD,Windows 10,2.1,1366,768,0,0,0,0,0,1,451.0,1,0,0
HP,Notebook,15.6,Intel,1.6,4,Intel,No OS,1.86,1366,768,0,0,0,0,0,1,259.0,0,1,0
HP,Notebook,14.0,Intel,1.6,8,Intel,Windows 10,1.63,1920,1080,0,0,1,0,0,0,812.0,0,1,0
Asus,Notebook,14.0,AMD,1.5,4,AMD,Windows 10 S,1.65,1366,768,0,0,0,0,0,1,277.99,1,0,0
Dell,Notebook,17.3,Intel,1.8,16,AMD,Windows 10,2.8,1920,1080,0,0,1,0,0,0,1396.0,1,1,0
HP,Notebook,17.3,Intel,1.6,8,Intel,Windows 10,2.5,1920,1080,0,0,1,0,0,0,928.0,1,0,0
Dell,Notebook,15.6,Intel,2.5,8,AMD,Windows 10,2.36,1366,768,0,0,0,0,0,1,638.99,0,1,0
Dell,Notebook,15.6,Intel,2.0,4,AMD,Windows 10,2.2,1920,1080,0,0,1,0,0,0,449.0,0,1,0
